词牌名,作者,韵脚
红林檎近,周邦彦,"[10,20,32,38,43,53,63,79]"
梦还京,柳永,"[11,29,32,43,50,53,59,62,79]"
快活年近拍,万俟咏,"[10,20,32,38,41,51,61,79]"
金人捧露盘,高观国,"[3,9,16,27,38,50,57,68,79]"
过涧歇,柳永,"[2,17,20,31,41,52,61,80]"
瑶阶草,程垓,"[10,19,31,37,40,51,62,70,74,80]"
安公子,柳永,"[5,22,27,44,54,65,80]"
应景乐,萧回,"[4,13,21,26,41,46,62,70,80]"
柳初新,柳永,"[7,13,27,33,40,46,53,67,74,81]"
斗百花,柳永,"[6,12,24,40,45,55,65,81]"
皂罗特髻,苏轼,"[13,22,37,46,57,72,81]"
最高楼,辛弃疾,"[8,13,27,36,44,52,58,72,81]"
倒垂柳,杨无咎,"[11,21,31,42,46,53,63,72,81]"
彩凤飞,陈亮,"[11,20,39,42,53,62,72,81]"
有有令,赵长卿,"[4,14,25,40,42,46,53,64,70,74,81]"
拂霓裳,晏殊,"[3,10,20,30,33,41,51,61,71,74,82]"
柳腰轻,柳永,"[7,13,27,41,47,54,68,82]"
爪茉莉,柳永,"[9,16,27,40,50,57,67,76,82]"
蓦山溪,程垓,"[9,21,41,50,62,82]"
千秋岁引,王安石,"[8,15,29,38,45,52,59,73,82]"
早梅芳,周邦彦,"[6,11,22,32,42,48,53,64,74,82]"
新荷叶,黄裳,"[10,20,31,41,51,61,72,82]"
南州春色,汪梅溪,"[6,15,27,42,56,71,82]"
长寿乐,柳永,"[4,13,27,38,47,56,59,68,83]"
迷仙引,柳永,"[12,22,33,46,51,56,67,74,83]"
促拍花满路,柳永,"[10,17,26,41,52,59,68,83]"
黄鹤引,《泊宅编》方失名,"[4,11,21,25,31,42,52,62,66,72,76,83]"
洞仙歌,苏轼,"[9,16,34,50,66,83]"
望云涯引,李甲,"[10,20,32,41,51,61,73,83]"
泛兰舟,无名氏,"[11,22,40,43,54,65,83]"
秋夜月,尹鹗,"[4,14,24,34,42,46,56,66,76,84]"
祭天神,柳永,"[8,18,29,39,45,53,64,84]"
鹤冲天,柳永,"[9,17,28,33,43,50,58,69,74,84]"
少年游慢,张先,"[5,11,22,32,42,47,53,64,74,84]"
兀令,贺铸,"[7,11,16,26,37,42,49,53,58,68,79,84]"
踏青游,苏轼,"[10,17,27,30,36,42,52,59,69,72,78,84]"
梦玉人引,沈会宗,"[10,20,32,41,53,63,72,84]"
蕙兰芳引,周邦彦,"[11,22,33,44,56,67,75,84]"
倾杯近,袁去华,"[11,22,33,43,54,65,76,84]"
清波引,姜夔,"[4,11,15,20,31,43,47,54,58,63,74,84]"
簇水,赵长卿,"[11,22,33,40,43,56,66,77,85]"
受恩深,柳永,"[5,10,17,29,34,43,50,60,72,77,86]"
婆罗门令,柳永,"[7,29,37,43,51,66,74,85,90]"
华胥引,周邦彦,"[12,23,34,44,55,65,76,86]"
五福降中天,江致和,"[11,20,32,43,54,64,75,86]"
离别难,薛昭蕴,"[16,30,53,74,88,103,124]"
江城梅花引,娟娟霜月冷侵门,"[7,10,26,42,57,60,63,74,83,99]"
寰海清,王庭珪,"[4,12,22,37,43,52,62,76,87]"
劝金船,苏轼,"[7,12,19,24,34,44,51,56,63,68,78,88]"
醉思仙,吕渭老,"[3,12,21,32,44,55,64,76,88]"
玉人歌,杨炎昶,"[3,12,21,33,44,49,58,67,79,88]"
惜红衣,姜夔,"[8,12,21,32,34,43,47,56,62,65,77,88]"
鱼游春水,无名氏,"[5,12,22,36,44,50,57,67,81,89]"
卜算子慢,柳永,"[14,24,32,45,50,59,69,77,89]"
雪狮儿,程垓,"[12,22,26,33,44,50,59,69,73,80,83,89]"
石湖仙,姜夔,"[4,13,25,36,38,45,58,68,76,80,83,89]"
八六子,杜牧,"[3,13,32,46,50,81,90]"
谢池春慢,张先,"[10,20,30,36,45,55,65,75,81,90]"
采桑子慢,吴礼之,"[10,21,25,32,44,56,67,71,78,90]"
探芳信,史达祖,"[3,12,22,34,45,50,59,69,81,90]"
遥天奉翠华引,侯寘,"[5,12,22,35,45,56,66,79,83,90]"
夏云峰,柳永,"[3,12,22,33,44,50,59,69,80,91]"
采莲令,柳永,"[8,15,27,44,55,62,74,91]"
醉翁操,苏轼,"[2,4,6,9,11,18,24,27,32,39,47,57,63,69,74,79,84,91]"
