词牌名,作者,韵律
定西番 ,张先,仄仄仄平平仄，平仄仄，仄平平。平仄仄平平仄，仄平平。平仄仄平平仄，仄平平仄平。仄仄平平平仄，仄平平。
江城子 ,韦庄,仄平平仄仄平平。仄平平。仄平平。仄平平仄、平仄仄平平。仄仄仄平平仄仄，平仄仄，仄平平。
江城子 ,欧阳炯,仄仄平平仄仄平。仄平平。仄平平。仄仄平平、仄仄仄平平。平仄平平平仄仄，平平仄仄，仄平平。
江城子 ,牛峤,仄仄平平仄仄平。平平平仄平。仄平平。仄仄平平、平仄仄平平。仄仄平平平仄仄，平仄仄，仄平平。
江城子 ,尹鹗,平平仄，仄平平。平平仄仄平。仄平平。仄仄平平、仄仄仄平平。仄仄平平平仄仄，平仄仄，仄平平。
江城子 ,苏轼,仄平平仄仄平平。仄平平。仄平平。仄仄平平、平仄仄平平。平仄平平平仄仄，平仄仄，仄平平。仄平平仄仄平平。仄平平。仄平平。平仄平平、平仄仄平平。仄仄仄平平仄仄，平仄仄，仄平平。
望江怨 ,牛峤,平平仄。仄仄平平仄平仄。平平平仄仄。仄平平仄平平仄。仄平仄。仄仄仄平平，仄平平仄仄。
长相思 ,白居易,仄仄平。仄仄平。平仄平平仄仄平。平平仄仄平。仄平平。仄平平。仄仄平平平仄平。仄平平仄平。
长相思 ,白居易,平仄平。仄仄平。平仄平平平仄平。平平平仄平。平平平，平平平。仄仄平平平仄平。平平仄仄平。
长相思 ,晏几道,平平平。平平平。仄仄平平仄仄平。平平平仄平。平平平。平平平。仄仄平平仄仄平。仄平平仄平。
长相思 ,欧阳修,平仄平。仄仄平。平仄平平平仄平。平平仄仄平。平平平。仄平平。平仄平平仄仄平。平平平仄平。
长相思 ,刘光祖,仄平平。仄平平。仄仄平平平仄平。平平平仄平。仄平平，仄平平。仄仄平平平仄平。平平平仄平。
思帝乡 ,温庭筠,平平。仄平平仄平。平仄仄平平仄，仄平平。平仄仄平平仄，仄平平仄平。平仄仄平平仄、仄平平。
思帝乡 ,韦庄,平仄平。仄平平仄平。仄仄平平平仄，仄平平。仄仄平平仄仄，仄平平。仄仄平平仄、仄平平。
思帝乡 ,韦庄,平仄仄，仄平平。仄仄平平平仄，仄平平。仄仄平平仄仄，仄平平。仄仄平平平仄、仄平平。
相见欢 ,薛昭蕴,平平仄仄平平。仄平平。仄仄平平平仄、仄平平。仄平仄。平平仄。仄平平。仄仄平平平仄、仄平平。
相见欢 ,杨无咎,仄平仄仄平平。仄平平。仄仄平平仄仄、仄平平。平平仄。平仄仄。仄平平。平仄仄平平仄、仄平平。
相见欢 ,蔡伸,平平平仄平平。仄平平。仄仄平平平仄、仄平平。平仄仄，平仄仄，仄平平。平仄仄平平仄、仄平平。
相见欢 ,张镃,仄平平仄平平。仄平平。仄仄平平平仄、仄平平。平仄平平平仄，仄平平。平仄平平仄仄、仄平平。
相见欢 ,吴文英,平平平仄平平。仄平平。平仄平平仄仄、仄平平。仄仄仄，仄平平。仄平平。平仄仄平平仄、仄平平。
河满子 ,和凝,仄仄平平平仄，平平平仄平平。仄仄平平平仄，平平平仄平平。仄仄平平仄仄，仄平平仄平平。
河满子 ,和凝,仄仄仄平平仄，平平仄仄平平。平仄平平平仄仄，仄平平仄平平。仄仄平平平仄，仄平平仄平平。
河满子 ,尹鹗,平仄平平仄仄，平平仄仄平平。仄仄平平平仄，仄平平仄平平。仄仄平平平仄，平平仄仄平平。平仄仄平平仄，仄平平仄平平。仄仄平平平仄仄，仄平平仄平平。仄仄平平平仄，平平仄仄平平。
河满子 ,毛熙震,仄仄平平仄仄，仄平平仄平平。仄仄仄平平仄仄，仄平平仄平平。仄仄平平平仄，仄平平仄平平。平仄平平仄仄，仄平平仄平平。仄仄平平平仄仄，仄平平仄平平。平仄仄平平仄，仄平平仄平平。
河满子 ,毛滂,仄仄平平平仄。平平平仄平仄。仄平平仄仄平仄，平仄仄平平仄。平平仄平平仄，平仄平平平仄。仄仄平平仄仄。仄仄平平仄仄。平平仄仄仄平仄，仄仄仄平平仄。平仄平平仄仄，仄仄平平仄仄。
风光好 ,欧良,仄平平。仄平平。平仄平平仄仄平。仄平平。平平平仄平平仄。平平仄。仄仄平平仄仄平。仄平平。
误桃源 ,无名氏,仄仄仄平仄，仄仄仄平平。仄平平仄平。仄平平。仄平仄仄仄，平仄仄平平。仄仄仄平仄，仄平平。
望梅花 ,和凝,平仄平平平仄。仄仄平平平仄。仄仄平平平仄仄。仄仄平平平仄。平仄仄平平仄仄。平仄平平平仄。
望梅花 ,孙光宪,仄平平仄仄平平。仄仄仄、平平平仄，仄仄平平平仄平。平仄仄平平。平仄平平仄仄平。平仄仄平平。
